"id" "author" "year" "country" "gender" "type" "cases" "logrr" "se" "dose" "alcohol" "smoking" "n" "area"
"1" 1 "LeGrady et al." 1987 "USA" "M" "ci" 57 0 0 0.5 0 "status" 249 "USA"
"2" 1 "LeGrady et al." 1987 "USA" "M" "ci" 136 -0.287682072451781 0.139118722720248 2.5 0 "status" 655 "USA"
"3" 1 "LeGrady et al." 1987 "USA" "M" "ci" 144 -0.174353387144778 0.137319812668239 4.5 0 "status" 619 "USA"
"4" 1 "LeGrady et al." 1987 "USA" "M" "ci" 115 0.0861776962410524 0.140140887102381 6.5 0 "status" 387 "USA"
"5" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 17 0 0 0 1 "status" 192 "Europe"
"6" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 88 -0.120357580622388 0.253153652515509 1.5 1 "status" 1121 "Europe"
"7" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 155 -0.341834179762598 0.244255941229304 3.5 1 "status" 2464 "Europe"
"8" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 155 -0.126170699714306 0.244055904064926 5.5 1 "status" 1986 "Europe"
"9" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 39 -0.266526366696139 0.278418913302732 7.5 1 "status" 575 "Europe"
"10" 2 "Rosengren et al." 1991 "Sweden" "M" "ci" 24 -0.510825623765991 0.28025823690513 9.5 1 "status" 427 "Europe"
"11" 3 "Klatsky et al." 1993 "USA" "M/F" "ci" 832 0 0 0 1 "perday" 34755 "USA"
"12" 3 "Klatsky et al." 1993 "USA" "M/F" "ci" 564 -0.0408219945202552 0.0587187698907117 0.5 1 "perday" 18106 "USA"
"13" 3 "Klatsky et al." 1993 "USA" "M/F" "ci" 2081 -0.0618754037180875 0.0435269176098886 2 1 "perday" 53596 "USA"
"14" 3 "Klatsky et al." 1993 "USA" "M/F" "ci" 658 -0.0725706928348354 0.0575383396287691 5 1 "perday" 15541 "USA"
"15" 3 "Klatsky et al." 1993 "USA" "M/F" "ci" 274 -0.127833371509885 0.0750610900504949 8 1 "perday" 5522 "USA"
"16" 4 "Woodward" 1999 "Scotland" "M" "ci" 139 0 0 0 1 "status" 1646 "Europe"
"17" 4 "Woodward" 1999 "Scotland" "M" "ci" 101 -0.301105092783922 0.125976331362446 1.5 1 "status" 1619 "Europe"
"18" 4 "Woodward" 1999 "Scotland" "M" "ci" 67 -0.301105092783922 0.143956385030967 3.5 1 "status" 1268 "Europe"
"19" 4 "Woodward" 1999 "Scotland" "M" "ci" 65 -0.261364764134408 0.145162136933343 5.5 1 "status" 1112 "Europe"
"20" 5 "Woodward" 1999 "Scotland" "F" "ci" 72 0 0 0 1 "status" 1558 "Europe"
"21" 5 "Woodward" 1999 "Scotland" "F" "ci" 63 -0.083381608939051 0.168808251931009 1.5 1 "status" 1603 "Europe"
"22" 5 "Woodward" 1999 "Scotland" "F" "ci" 30 -0.261364764134408 0.21402983147263 3.5 1 "status" 1296 "Europe"
"23" 5 "Woodward" 1999 "Scotland" "F" "ci" 36 -0.23572233352107 0.200699318645567 5.5 1 "status" 1343 "Europe"
"24" 6 "Kleemola et al." 2000 "Finland" "M" "ci" 172 0 0 2 0 "status" 1712 "Europe"
"25" 6 "Kleemola et al." 2000 "Finland" "M" "ci" 73 0.457424847038875 0.139088533286562 0.495 0 "status" 545 "Europe"
"26" 6 "Kleemola et al." 2000 "Finland" "M" "ci" 621 -0.0304592074847086 0.0840508166148577 5.5 0 "status" 5280 "Europe"
"27" 6 "Kleemola et al." 2000 "Finland" "M" "ci" 335 0.00995033085316809 0.0952051647678426 9.5 0 "status" 2538 "Europe"
"28" 7 "Kleemola et al." 2000 "Finland" "F" "ci" 87 0 0 2 0 "status" 1786 "Europe"
"29" 7 "Kleemola et al." 2000 "Finland" "F" "ci" 19 0.113328685307003 0.248821338837796 0.495 0 "status" 369 "Europe"
"30" 7 "Kleemola et al." 2000 "Finland" "F" "ci" 289 -0.23572233352107 0.120404538380032 5.5 0 "status" 6732 "Europe"
