"author" "id" "study" "cases" "control" "n" "ralative_risk" "lrr" "urr" "dose" "logrr" "se" "studyt"
"1" "Bianchi" 1 "CC" 126 288 414 1 NA NA 0 0 NA 1
"2" "Bianchi" 1 "CC" 61 200 261 0.800000011920929 0.5 1.20000004768372 9.0600004196167 -0.223143503069878 0.223337978124619 1
"3" "Bianchi" 1 "CC" 69 159 228 1 0.600000023841858 1.5 27 -9.99999974737875e-05 0.23375192284584 1
"4" "Bianchi" 1 "CC" 22 22 44 1.70000004768372 0.800000011920929 3.5 45 0.530628323554993 0.376513659954071 1
"5" "Bianchi" 1 "CC" 19 15 34 2.40000009536743 1 5.69999980926514 64.8000030517578 0.875468671321869 0.444004625082016 1
"6" "Bobak" 2 "CC" 77 181 258 1 NA NA 0 0 NA 1
"7" "Bobak" 2 "CC" 88 325 413 0.649999976158142 0.419999986886978 1 16.0499992370605 -0.430782914161682 0.22130523622036 1
"8" "Bobak" 2 "CC" 24 178 202 0.340000003576279 0.189999997615814 0.610000014305115 46.4249992370605 -1.07880997657776 0.297565400600433 1
"9" "Bobak" 2 "CC" 13 51 64 0.540000021457672 0.25 1.13999998569489 77.1600036621094 -0.616186082363129 0.387079209089279 1
"10" "Malarcher-wine" 3 "CC" 83 125 208 1 NA NA 0 0 NA 1
"11" "Malarcher-wine" 3 "CC" 46 129 175 0.560000002384186 0.300000011920929 1.03999996185303 1.17599999904633 -0.579818487167358 0.317147016525269 1
"12" "Malarcher-wine" 3 "CC" 17 41 58 0.569999992847443 0.25 1.28999996185303 8.91600036621094 -0.562118887901306 0.418613970279694 1
"13" "Malarcher-wine" 3 "CC" 4 7 11 1.85000002384186 0.310000002384186 10.9399995803833 18.7199993133545 0.615185618400574 0.909100592136383 1
"14" "Malarcher-beer" 4 "CC" 83 125 208 1 NA NA 0 0 NA 1
"15" "Malarcher-beer" 4 "CC" 29 88 117 0.75 0.389999985694885 1.44000005722046 0.954999983310699 -0.287682086229324 0.333233594894409 1
"16" "Malarcher-beer" 4 "CC" 32 49 81 1.66999995708466 0.860000014305115 3.24000000953674 7.42999982833862 0.512823581695557 0.338372588157654 1
"17" "Malarcher-beer" 4 "CC" 18 21 39 0.730000019073486 0.28999999165535 1.8400000333786 15.6000003814697 -0.314710706472397 0.471345394849777 1
"18" "Vliegenthart-wine" 5 "CI" 159 321 480 1 NA NA 0 0 NA 3
"19" "Vliegenthart-wine" 5 "CI" 229 746 975 0.660000026226044 0.5 0.879999995231628 6 -0.415515512228012 0.14421534538269 3
"20" "Vliegenthart-wine" 5 "CI" 38 169 207 0.529999971389771 0.330000013113022 0.839999973773956 18 -0.634878277778625 0.238348558545113 3
"21" "Vliegenthart-wine" 5 "CI" 39 94 133 0.920000016689301 0.540000021457672 1.58000004291534 28.7999992370605 -0.0833816006779671 0.273885369300842 3
"22" "Vliegenthart-beer" 6 "CI" 302 967 1269 1 NA NA 0 0 NA 3
"23" "Vliegenthart-beer" 6 "CI" 129 307 436 0.800000011920929 0.589999973773956 1.0900000333786 6.25 -0.223143503069878 0.156587183475494 3
"24" "Vliegenthart-beer" 6 "CI" 19 30 49 0.990000009536743 0.5 1.98000001907349 18.75 -0.010050299577415 0.351089119911194 3
"25" "Vliegenthart-beer" 6 "CI" 15 26 41 0.769999980926514 0.340000003576279 1.74000000953674 30 -0.261364787817001 0.416511416435242 3
